Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_Presence_Absence,Stx2_Presence_Absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC66,Greensferry,Greensferry_Wet,GrbW,2/9/2016,Winter,Wet,1311,14.8,265.5,8.07,7.40,NA,"16,794",4.2,"16,217,453",7.2,"373,976",5.6,"63,215",4.8,A,A,0.00,0.00,0.00,0.000,0.000,0.000,83.8,0.4,0.0
PC67,Lindsay Street,Lindsay Street_Wet,GrbW,2/9/2016,Winter,Wet,1324,11.9,34.1,8.07,7.3,NA,114,2.1,"9,057",4.0,"4,451",3.6,ND,0.0,P,A,0.00,0.00,0.00,0.000,0.000,0.000,94.5,0.0,0.0
PC68,Burbank,Burbank_Wet,GrbW,2/9/2016,Winter,Wet,1342,7.6,130.5,11.53,7.72,NA,712,2.9,"109,386",5.0,"11,836",4.1,ND,0.0,A,P,0.00,0.00,0.00,0.000,0.000,0.000,68.7,1.4,0.0
PC70,Greensferry,Greensferry_Wet,GrbW,2/18/2016,Winter,Wet,1100,NA,NA,NA,NA,NA,"8,600",3.9,"6,700,307",6.8,"516,924",5.7,"9,458",4.0,A,A,0,0.03,0.92,0.042,0.023,0.016,83.8,0.4,0.0
PC71,Northwest,Northwest_Wet,GrbW,2/23/2016,Winter,Wet,1120,13.4,91.4,9.05,7.93,NA,"4,618",3.7,"82,228",4.9,"49,178",4.7,"4,137",3.6,P,P,1.01,1.11,1.13,0.042,0.023,0.016,59.0,13.9,0.9
PC72,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,2/23/2016,Winter,Wet,1131,13,44.9,9.36,7.41,NA,"3,193",3.5,"2,041",3.3,"22,416",4.4,LOQ,3.0,A,A,1.01,1.11,1.13,0.042,0.023,0.016,47.8,21.3,0.0
PC73,James Jackson,James Jackson_Wet,GrbW,2/23/2016,Winter,Wet,1145,13.4,87.2,9.54,7.55,NA,"2,343",3.4,"41,934",4.6,"40,560",4.6,"4,788",3.7,P,A,1.01,1.11,1.13,0.042,0.023,0.016,60.1,13.1,1.0
PC74,Spring Street,Spring Street_Wet,GrbW,2/23/2016,Winter,Wet,1156,13.1,83,9.68,7.61,NA,"2,938",3.5,"130,451",5.1,"93,245",5.0,"2,738",3.4,A,P,1.02,1.12,1.14,0.043,0.023,0.016,41.8,21.9,0.7
PC75,Kerry Circle,Kerry Circle_Wet,GrbW,2/23/2016,Winter,Wet,1210,13.6,93.8,8.26,7.61,NA,"4,758",3.7,"102,756",5.0,"69,175",4.8,"11,476",4.1,P,A,1.01,1.11,1.14,0.042,0.023,0.016,69.7,8.6,1.0
PC76,Hortense,Hortense_Wet,GrbW,2/23/2016,Winter,Wet,1226,14,90.3,9.51,7.55,NA,"8,451",3.9,"765,545",5.9,"95,666",5.0,"6,694",3.8,P,P,1.01,1.11,1.14,0.042,0.023,0.016,77.3,4.1,0.2
