Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_presence_absence,Stx2_presence_absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC224,Grove Park,Grove Park_Dry,GrbW,7/12/16,Summer,Dry,1215,25.2,220.2,7.23,7.85,3.14,313.00,2.5,0.00,2.7,6290.00,3.8,0.00,3,1,0,0.06,0.06,0.06,0.003,0.001,0.001,48.8,11.2,0
PC225,North Ave,North Ave_Dry,GrbW,7/12/16,Summer,Dry,1223,25.4,275.8,7.99,7.88,2.22,1358.00,3.1,29683.00,4.5,10452.00,4,0.00,0,1,1,0.06,0.06,0.06,0.003,0.001,0.001,77,1.2,0
PC226,North Ave CSO,North Ave CSO_Dry,GrbW,7/12/16,Summer,Dry,1231,22.7,624,3.97,7.44,1.75,82.00,1.9,0.00,2.7,1692.00,3.2,0.00,0,1,0,0.06,0.06,0.06,0.003,0.001,0.001,93.7,0.3,0
PC227,Lindsay Street,Lindsay Street_Dry,GrbW,7/12/16,Summer,Dry,1242,22.7,376.3,6.47,7.12,5.72,963.00,3,4362.00,3.6,22089.00,4.3,0.00,3,0,1,0.06,0.06,0.06,0.003,0.001,0.001,94.5,0,0
PC228,Greensferry,Greensferry_Dry,GrbW,7/12/16,Summer,Dry,1254,23,305.3,6.26,7.19,1.03,5129.00,3.7,195724.00,5.3,62013.00,4.8,0.00,3,0,1,0.06,0.06,0.06,0.003,0.001,0.001,83.8,0.4,0
PC229,Burbank,Burbank_Dry,GrbW,7/12/16,Summer,Dry,1304,25.1,188.1,7.53,7.6,3.43,760.00,2.9,26079.00,4.4,13875.00,4.1,0.00,0,0,1,0.06,0.06,0.06,0.003,0.001,0.001,68.7,1.4,0
PC231,Lindsay Street,Lindsay Street_Dry,GrbW,7/26/16,Summer,Dry,1032,22.2,331.5,6.5,6.97,0.55,310.00,2.5,0.00,2.7,1881.00,3.3,0.00,0,0,0,0,0,0,0,0,0,94.5,0,0
PC232,Burbank,Burbank_Dry,GrbW,7/26/16,Summer,Dry,1012,24.6,174.4,6.63,7.45,3.25,1821.00,3.3,30474.00,4.5,8472.00,3.9,0.00,0,1,0,0,0,0,0,0,0,68.7,1.4,0
PC233,Grove Park,Grove Park_Dry,GrbW,7/26/16,Summer,Dry,1116,25.4,215.5,7.47,7.85,2.22,174.00,2.2,0.00,2.7,3271.00,3.5,0.00,0,1,0,0,0,0,0,0,0,48.8,11.2,0
PC234,Spring Street,Spring Street_Dry,GrbW,7/26/16,Summer,Dry,1213,26,172,7.27,7.53,2.19,425.00,2.6,0.00,2.7,2056.00,3.3,0.00,0,1,0,0,0,0,0,0,0,41.8,21.9,0.7
PC237,Greensferry,Greensferry_Dry,GrbW,7/26/16,Summer,Dry,1022,23.7,290.4,6.26,7.16,0.74,6545.00,3.8,293122.00,5.5,120205.00,5.1,0.00,3,0,1,0,0,0,0,0,0,83.8,0.4,0
PC238,North Ave,North Ave_Dry,GrbW,7/26/16,Summer,Dry,1046,24.6,413.6,7.23,7.55,2.17,1885.00,3.3,25152.00,4.4,58025.00,4.8,0.00,0,1,1,0,0,0,0,0,0,77,1.2,0
PC239,North Ave CSO,North Ave CSO_Dry,GrbW,7/26/16,Summer,Dry,1055,23.3,600,1.17,7,1.59,871.00,2.9,0.00,2.7,7334.00,3.9,0.00,0,0,0,0,0,0,0,0,0,93.7,0.3,0
PC241,Hortense,Hortense_Dry,GrbW,7/26/16,Summer,Dry,1122,26.1,330.4,6.33,7.43,3.62,270.00,2.4,0.00,2.7,5603.00,3.7,0.00,0,0,0,0,0,0,0,0,0,77.3,4.1,0.2
PC242,Kerry Circle,Kerry Circle_Dry,GrbW,7/26/16,Summer,Dry,1155,26.8,309.1,5.81,7.4,3.45,1024.00,3,2329.00,3.4,5262.00,3.7,0.00,0,1,0,0,0,0,0,0,0,69.7,8.6,1
PC243,James Jackson,James Jackson_Dry,GrbW,7/26/16,Summer,Dry,1230,27.24,261,8.74,8,2.03,120.00,2.1,0.00,2.7,0.00,2.7,0.00,0,1,0,0,0,0,0,0,0,60.1,13.1,1
PC244,Northwest,Northwest_Dry,GrbW,7/26/16,Summer,Dry,1030,26.14,298,7.07,7.67,1.89,100.00,2,0.00,2.7,1141.00,3.1,0.00,0,0,0,0,0,0,0,0,0,59,13.9,0.9
PC246,Northwest,Northwest_Dry,GrbW,8/9/16,Summer,Dry,1059,26,163.1,6.63,7.49,23,755.00,2.9,0.00,2.7,1430.00,3.2,0.00,0,1,0,0.07,0.35,0.35,0.003,0.007,0.005,59,13.9,0.9
PC248,James Jackson,James Jackson_Dry,GrbW,8/9/16,Summer,Dry,1128,25.9,182.8,6.66,7.55,23.6,1159.00,3.1,0.00,2.7,5030.00,3.7,0.00,0,1,0,0.07,0.35,0.35,0.003,0.007,0.005,60.1,13.1,1
PC249,Spring Street,Spring Street_Dry,GrbW,8/9/16,Summer,Dry,1136,25.1,131.1,7.14,7.37,3.44,305.00,2.5,0.00,2.7,0.00,2.7,0.00,0,1,0,0.07,0.35,0.35,0.003,0.007,0.005,41.8,21.9,0.7
PC250,Kerry Circle,Kerry Circle_Dry,GrbW,8/9/16,Summer,Dry,1157,26,187.9,6.39,7.38,45,4411.00,3.6,5557.00,3.7,33964.00,4.5,0.00,0,1,0,0.07,0.35,0.35,0.003,0.007,0.005,69.7,8.6,1
PC251,Hortense,Hortense_Dry,GrbW,8/9/16,Summer,Dry,1216,25.5,177.7,6.68,7.4,19.2,3388.00,3.5,39955.00,4.6,20577.00,4.3,0.00,0,1,0,0.07,0.35,0.35,0.003,0.007,0.005,77.3,4.1,0.2
PC252,Grove Park,Grove Park_Dry,GrbW,8/9/16,Summer,Dry,1225,25.3,162.1,7.04,7.58,3.53,734.00,2.9,0.00,2.7,2303.00,3.4,0.00,0,1,1,0.07,0.35,0.35,0.003,0.007,0.005,48.8,11.2,0
PC253,North Ave,North Ave_Dry,GrbW,8/9/16,Summer,Dry,1238,25.5,195.5,7.4,7.46,10.9,8357.00,3.9,336459.00,5.5,57518.00,4.8,23159.00,4.4,1,0,0.07,0.35,0.35,0.003,0.007,0.005,77,1.2,0
PC254,North Ave CSO,North Ave CSO_Dry,GrbW,8/9/16,Summer,Dry,1246,24.9,161.4,6.07,7.26,14.4,3814.00,3.6,0.00,2.7,38561.00,4.6,0.00,0,1,1,0.07,0.35,0.35,0.003,0.007,0.005,93.7,0.3,0
PC255,Lindsay Street,Lindsay Street_Dry,GrbW,8/9/16,Summer,Dry,1259,22.8,296.5,5.78,6.81,1.04,599.00,2.8,0.00,2.7,2487.00,3.4,0.00,0,0,1,0.07,0.35,0.35,0.003,0.007,0.005,94.5,0,0
PC256,Greensferry,Greensferry_Dry,GrbW,8/9/16,Summer,Dry,1312,24.2,275.5,5.77,7.05,6.17,21432.00,4.3,634139.00,5.8,187932.00,5.3,19456.00,4.3,0,1,0.07,0.35,0.35,0.003,0.007,0.005,83.8,0.4,0
PC257,Burbank,Burbank_Dry,GrbW,8/9/16,Summer,Dry,1325,24.9,160.2,6.44,7.33,16.4,2785.00,3.4,39070.00,4.6,9765.00,4,0.00,0,1,1,0.07,0.35,0.35,0.003,0.007,0.005,68.7,1.4,0
PC259,Northwest,Northwest_Dry,GrbW,8/30/16,Summer,Dry,1112,24.5,281.7,6.95,7.72,2.18,223.00,2.3,0.00,2.7,0.00,2.7,0.00,0,1,1,0,0,0,0,0,0,59,13.9,0.9
PC260,James Jackson,James Jackson_Dry,GrbW,8/30/16,Summer,Dry,1135,24.1,276.1,7.74,7.75,2.37,164.00,2.2,0.00,2.7,0.00,2.7,0.00,0,1,1,0,0,0,0,0,0,60.1,13.1,1
PC261,Spring Street,Spring Street_Dry,GrbW,8/30/16,Summer,Dry,1155,23.9,162.8,7.65,7.62,1.93,157.00,2.2,0.00,2.7,0.00,2.7,0.00,0,0,1,0,0,0,0,0,0,41.8,21.9,0.7
PC262,Kerry Circle,Kerry Circle_Dry,GrbW,8/30/16,Summer,Dry,1213,25.1,301.3,7.01,7.55,2.76,1404.00,3.1,3410.00,3.5,12050.00,4.1,0.00,0,1,1,0,0,0,0,0,0,69.7,8.6,1
PC263,Hortense,Hortense_Dry,GrbW,8/30/16,Summer,Dry,1232,25,277.8,7.6,7.62,3.19,284.00,2.5,0.00,2.7,1382.00,3.1,3132.00,3.5,1,1,0,0,0,0,0,0,77.3,4.1,0.2
